L4 | Fri Feb 20 14:28:25 2026 (710 ms) | general | exiting: Deleting sceneHandler

L4 | Fri Feb 20 14:28:25 2026 (710 ms) | general | Freeing sound sprites

L4 | Fri Feb 20 14:28:25 2026 (717 ms) | general | exiting: freeing frameDrawer

L4 | Fri Feb 20 14:28:25 2026 (853 ms) | general | exiting: Deleting screen

L4 | Fri Feb 20 14:28:25 2026 (853 ms) | general | exiting: freeing drawString

L4 | Fri Feb 20 14:28:25 2026 (854 ms) | general | exiting: calling SDL_Quit()

L4 | Fri Feb 20 14:28:25 2026 (926 ms) | general | exiting: Done.

